,Prediction,NextId,Position
16262,g,-1,8
16270,g,-1,8
3780,g,-1,6
16278,g,-1,8
16494,g,-1,8
16286,g,-1,8
16302,g,-1,8
16310,g,-1,8
3774,g,-1,6
16318,g,-1,8
16326,g,-1,8
16334,g,-1,8
16342,g,-1,8
16350,g,-1,8
16294,g,-1,8
16605,p,-1,3
16497,p,-1,3
3744,g,-1,6
16560,p,-1,3
3720,g,-1,6
16563,p,-1,3
16566,p,-1,3
16569,p,-1,3
16572,p,-1,3
16575,p,-1,3
3714,g,-1,6
16578,p,-1,3
16581,p,-1,3
16584,p,-1,3
16587,p,-1,3
16590,p,-1,3
3708,g,-1,6
16593,p,-1,3
16596,p,-1,3
16599,p,-1,3
16557,p,-1,3
16554,p,-1,3
16551,p,-1,3
16548,p,-1,3
16503,p,-1,3
16506,p,-1,3
16509,p,-1,3
16512,p,-1,3
16515,p,-1,3
3738,g,-1,6
16518,p,-1,3
16521,p,-1,3
16500,p,-1,3
16524,p,-1,3
16530,p,-1,3
3732,g,-1,6
16533,p,-1,3
16536,p,-1,3
16539,p,-1,3
16542,p,-1,3
16545,p,-1,3
3726,g,-1,6
16527,p,-1,3
16230,g,-1,8
16818,p,-1,3
16824,p,-1,3
17355,g,-1,6
17361,g,-1,6
3504,g,-1,6
17367,g,-1,6
17373,g,-1,6
17379,g,-1,6
17385,g,-1,6
17391,g,-1,6
3498,g,-1,6
17397,g,-1,6
17403,g,-1,6
17409,g,-1,6
17415,g,-1,6
17421,g,-1,6
3492,g,-1,6
17427,g,-1,6
17433,g,-1,6
17349,g,-1,6
17343,g,-1,6
17337,g,-1,6
3510,g,-1,6
3528,g,-1,6
17247,g,-1,6
17253,g,-1,6
17259,g,-1,6
17265,g,-1,6
17271,g,-1,6
3522,g,-1,6
17277,g,-1,6
17439,g,-1,6
17283,g,-1,6
17295,g,-1,6
17301,g,-1,6
3516,g,-1,6
17307,g,-1,6
17313,g,-1,6
17319,g,-1,6
17325,g,-1,6
17331,g,-1,6
17289,g,-1,6
17241,g,-1,6
17445,g,-1,6
3486,g,-1,6
17577,g,-1,6
3462,y,-1,12
17583,g,-1,6
17589,g,-1,6
17595,g,-1,6
17601,g,-1,6
17607,g,-1,6
17615,e,-1,8
17623,e,-1,8
17631,e,-1,8
17639,e,-1,8
17647,e,-1,8
17655,e,-1,8
3450,y,-1,12
17663,e,-1,8
17671,e,-1,8
17679,e,-1,8
17571,g,-1,6
17565,g,-1,6
17559,g,-1,6
17553,g,-1,6
17457,g,-1,6
17463,g,-1,6
17469,g,-1,6
17475,g,-1,6
17481,g,-1,6
3480,g,-1,6
17487,g,-1,6
17493,g,-1,6
17451,g,-1,6
17499,g,-1,6
17511,g,-1,6
3474,y,-1,12
17517,g,-1,6
17523,g,-1,6
17529,g,-1,6
17535,g,-1,6
17541,g,-1,6
17547,g,-1,6
17505,g,-1,6
16821,p,-1,3
17235,g,-1,6
17223,g,-1,6
16923,g,-1,6
16929,g,-1,6
16935,g,-1,6
16941,g,-1,6
3588,g,-1,6
16947,g,-1,6
16953,g,-1,6
16959,g,-1,6
16965,g,-1,6
16971,g,-1,6
3582,g,-1,6
16977,g,-1,6
16983,g,-1,6
16989,g,-1,6
16995,g,-1,6
17001,g,-1,6
3576,g,-1,6
16917,g,-1,6
3594,g,-1,6
16911,g,-1,6
16905,g,-1,6
16827,p,-1,3
16830,p,-1,3
3612,g,-1,6
16833,p,-1,3
16836,p,-1,3
16839,p,-1,3
16845,g,-1,6
16851,g,-1,6
17007,g,-1,6
3606,g,-1,6
16863,g,-1,6
16869,g,-1,6
16875,g,-1,6
16881,g,-1,6
3600,g,-1,6
16887,g,-1,6
16893,g,-1,6
16899,g,-1,6
16857,g,-1,6
17229,g,-1,6
17013,g,-1,6
17025,g,-1,6
17139,g,-1,6
17145,g,-1,6
17151,g,-1,6
3546,g,-1,6
17157,g,-1,6
17163,g,-1,6
17169,g,-1,6
17175,g,-1,6
17181,g,-1,6
3540,g,-1,6
17187,g,-1,6
17193,g,-1,6
17199,g,-1,6
17205,g,-1,6
17211,g,-1,6
3534,g,-1,6
17217,g,-1,6
17133,g,-1,6
17127,g,-1,6
3552,g,-1,6
17121,g,-1,6
17031,g,-1,6
3570,g,-1,6
17037,g,-1,6
17043,g,-1,6
17049,g,-1,6
17055,g,-1,6
17061,g,-1,6
3564,g,-1,6
17019,g,-1,6
17067,g,-1,6
17079,g,-1,6
17085,g,-1,6
17091,g,-1,6
3558,g,-1,6
17097,g,-1,6
17103,g,-1,6
17109,g,-1,6
17115,g,-1,6
17073,g,-1,6
16222,g,-1,8
16214,g,-1,8
16206,g,-1,8
14632,y,-1,10
14642,y,-1,10
14652,y,-1,10
4020,g,-1,6
14662,y,-1,10
14672,y,-1,10
14682,y,-1,10
14692,y,-1,10
14702,y,-1,10
4014,g,-1,6
14712,y,-1,10
14722,y,-1,10
14732,y,-1,10
14742,y,-1,10
14752,y,-1,10
4008,g,-1,6
14762,y,-1,10
14622,y,-1,10
14612,y,-1,10
4026,g,-1,6
14602,y,-1,10
14452,y,-1,10
4044,g,-1,6
14462,y,-1,10
14472,y,-1,10
14482,y,-1,10
14492,y,-1,10
14502,y,-1,10
4038,g,-1,6
14772,y,-1,10
14512,y,-1,10
14532,y,-1,10
14542,y,-1,10
14552,y,-1,10
4032,g,-1,6
14562,y,-1,10
14572,y,-1,10
14582,y,-1,10
14592,y,-1,10
14522,y,-1,10
14442,y,-1,10
14782,y,-1,10
14802,y,-1,10
14992,y,-1,10
15002,y,-1,10
3978,g,-1,6
15012,y,-1,10
15022,y,-1,10
15032,y,-1,10
15042,y,-1,10
15052,y,-1,10
3972,g,-1,6
15062,y,-1,10
15072,y,-1,10
15082,y,-1,10
15092,y,-1,10
15102,y,-1,10
3966,g,-1,6
15112,y,-1,10
15122,y,-1,10
14982,y,-1,10
14972,y,-1,10
14962,y,-1,10
3984,g,-1,6
4002,g,-1,6
14812,y,-1,10
14822,y,-1,10
14832,y,-1,10
14842,y,-1,10
14852,y,-1,10
3996,g,-1,6
14862,y,-1,10
14792,y,-1,10
14872,y,-1,10
14892,y,-1,10
14902,y,-1,10
3990,g,-1,6
14912,y,-1,10
14922,y,-1,10
14932,y,-1,10
14942,y,-1,10
14952,y,-1,10
14882,y,-1,10
15132,y,-1,10
14432,y,-1,10
14412,y,-1,10
13982,m,-1,8
13990,m,-1,8
13998,m,-1,8
14006,m,-1,8
14014,m,-1,8
4104,g,-1,6
14022,m,-1,8
14030,m,-1,8
14038,m,-1,8
14046,m,-1,8
14054,m,-1,8
4098,g,-1,6
14062,m,-1,8
14070,m,-1,8
14078,m,-1,8
14086,m,-1,8
14094,m,-1,8
4110,g,-1,6
13974,m,-1,8
13966,m,-1,8
13958,m,-1,8
13838,m,-1,8
13846,m,-1,8
13854,m,-1,8
4128,g,-1,6
13862,m,-1,8
13870,m,-1,8
13878,m,-1,8
13886,m,-1,8
4092,g,-1,6
13894,m,-1,8
13902,m,-1,8
13910,m,-1,8
13918,m,-1,8
13926,m,-1,8
13934,m,-1,8
4116,g,-1,6
13942,m,-1,8
13950,m,-1,8
4122,g,-1,6
14422,y,-1,10
14102,m,-1,8
14118,m,-1,8
14272,y,-1,10
14282,y,-1,10
14292,y,-1,10
14302,y,-1,10
4062,g,-1,6
14312,y,-1,10
14322,y,-1,10
14332,y,-1,10
14342,y,-1,10
14352,y,-1,10
4056,g,-1,6
14362,y,-1,10
14372,y,-1,10
14382,y,-1,10
14392,y,-1,10
14402,y,-1,10
4050,g,-1,6
14262,m,-1,8
4068,g,-1,6
14254,m,-1,8
14246,m,-1,8
14126,m,-1,8
14134,m,-1,8
4086,g,-1,6
14142,m,-1,8
14150,m,-1,8
14158,m,-1,8
14166,m,-1,8
14174,m,-1,8
14110,m,-1,8
4080,g,-1,6
14190,m,-1,8
14198,m,-1,8
14206,m,-1,8
14214,m,-1,8
4074,g,-1,6
14222,m,-1,8
14230,m,-1,8
14238,m,-1,8
14182,m,-1,8
15142,y,-1,10
15152,y,-1,10
3960,g,-1,6
15806,g,-1,8
15814,g,-1,8
15822,g,-1,8
15830,g,-1,8
3846,g,-1,6
15838,g,-1,8
15846,g,-1,8
15854,g,-1,8
15862,g,-1,8
15870,g,-1,8
3840,g,-1,6
15878,g,-1,8
15886,g,-1,8
15894,g,-1,8
15902,g,-1,8
15910,g,-1,8
3834,g,-1,6
15798,g,-1,8
3852,g,-1,6
15790,g,-1,8
15782,g,-1,8
15662,g,-1,8
15670,g,-1,8
3870,g,-1,6
15678,g,-1,8
15686,g,-1,8
15694,g,-1,8
15702,g,-1,8
15710,g,-1,8
15918,g,-1,8
3864,g,-1,6
15726,g,-1,8
15734,g,-1,8
15742,g,-1,8
15750,g,-1,8
3858,g,-1,6
15758,g,-1,8
15766,g,-1,8
15774,g,-1,8
15718,g,-1,8
15654,d,-1,6
15926,g,-1,8
15942,g,-1,8
16094,g,-1,8
16102,g,-1,8
16110,g,-1,8
3804,g,-1,6
16118,g,-1,8
16126,g,-1,8
16134,g,-1,8
16142,g,-1,8
16150,g,-1,8
3798,g,-1,6
16158,g,-1,8
16166,g,-1,8
16174,g,-1,8
16182,g,-1,8
16190,g,-1,8
3792,g,-1,6
16198,g,-1,8
16086,g,-1,8
16078,g,-1,8
3810,g,-1,6
16070,g,-1,8
15950,g,-1,8
3828,g,-1,6
15958,g,-1,8
15966,g,-1,8
15974,g,-1,8
15982,g,-1,8
15990,g,-1,8
3822,g,-1,6
15934,g,-1,8
15998,g,-1,8
16014,g,-1,8
16022,g,-1,8
16030,g,-1,8
3816,g,-1,6
16038,g,-1,8
16046,g,-1,8
16054,g,-1,8
16062,g,-1,8
16006,g,-1,8
15648,d,-1,6
15642,d,-1,6
3876,g,-1,6
15336,d,-1,6
3936,g,-1,6
15342,d,-1,6
15348,d,-1,6
15354,d,-1,6
15360,d,-1,6
15366,d,-1,6
3930,g,-1,6
15372,d,-1,6
15378,d,-1,6
15384,d,-1,6
15390,d,-1,6
15396,d,-1,6
3924,g,-1,6
15402,d,-1,6
15408,d,-1,6
15414,d,-1,6
15330,d,-1,6
15324,d,-1,6
15318,d,-1,6
15312,y,-1,10
15162,y,-1,10
15172,y,-1,10
15182,y,-1,10
15192,y,-1,10
15202,y,-1,10
3954,g,-1,6
15212,y,-1,10
15222,y,-1,10
15420,d,-1,6
15232,y,-1,10
15252,y,-1,10
3948,g,-1,6
15262,y,-1,10
15272,y,-1,10
15282,y,-1,10
15292,y,-1,10
15302,y,-1,10
3942,g,-1,6
15242,y,-1,10
15426,d,-1,6
3918,g,-1,6
15432,d,-1,6
3894,g,-1,6
15552,d,-1,6
15558,d,-1,6
15564,d,-1,6
15570,d,-1,6
15576,d,-1,6
3888,g,-1,6
15582,d,-1,6
15546,d,-1,6
15588,d,-1,6
15600,d,-1,6
15606,d,-1,6
3882,g,-1,6
15612,d,-1,6
15618,d,-1,6
15624,d,-1,6
15630,d,-1,6
15636,d,-1,6
15594,d,-1,6
17687,e,-1,8
15540,d,-1,6
15528,d,-1,6
15438,d,-1,6
15444,d,-1,6
15450,d,-1,6
15456,d,-1,6
3912,g,-1,6
15462,d,-1,6
15468,d,-1,6
15474,d,-1,6
15534,d,-1,6
15480,d,-1,6
3906,g,-1,6
15492,d,-1,6
15498,d,-1,6
15504,d,-1,6
15510,d,-1,6
15516,d,-1,6
3900,g,-1,6
15522,d,-1,6
15486,d,-1,6
13830,m,-1,8
17695,e,-1,8
17711,e,-1,8
20502,f,-1,3
20505,f,-1,3
20508,f,-1,3
20511,f,-1,3
20514,f,-1,3
20517,f,-1,3
20520,f,-1,3
2982,y,-1,12
20523,f,-1,3
20526,f,-1,3
20529,f,-1,3
20532,f,-1,3
20535,f,-1,3
20538,f,-1,3
20541,f,-1,3
20544,f,-1,3
20547,f,-1,3
20499,f,-1,3
20496,f,-1,3
20493,f,-1,3
20490,f,-1,3
20442,f,-1,3
20445,f,-1,3
20448,f,-1,3
20451,f,-1,3
20454,f,-1,3
3006,y,-1,12
20457,f,-1,3
20460,f,-1,3
20550,f,-1,3
20463,f,-1,3
20469,f,-1,3
20472,f,-1,3
20475,f,-1,3
20478,f,-1,3
20481,f,-1,3
20484,f,-1,3
20487,f,-1,3
2994,y,-1,12
20466,f,-1,3
20439,f,-1,3
20553,f,-1,3
20556,f,-1,3
2946,y,-1,12
20622,f,-1,3
20625,f,-1,3
20628,f,-1,3
20631,f,-1,3
20634,f,-1,3
20637,f,-1,3
20640,f,-1,3
20643,f,-1,3
20646,f,-1,3
20649,f,-1,3
20652,f,-1,3
2934,y,-1,12
20655,f,-1,3
20658,f,-1,3
20661,f,-1,3
20664,f,-1,3
20619,f,-1,3
20616,f,-1,3
20613,f,-1,3
20610,f,-1,3
20559,f,-1,3
20562,f,-1,3
20565,f,-1,3
20568,f,-1,3
20571,f,-1,3
20574,f,-1,3
20577,f,-1,3
20580,f,-1,3
2970,y,-1,12
20583,f,-1,3
2958,y,-1,12
20589,f,-1,3
20592,f,-1,3
20595,f,-1,3
20598,f,-1,3
20601,f,-1,3
20604,f,-1,3
20607,f,-1,3
20586,f,-1,3
20667,f,-1,3
20436,f,-1,3
20430,f,-1,3
20133,g,-1,6
20139,g,-1,6
20145,g,-1,6
20151,g,-1,6
20157,g,-1,6
20163,g,-1,6
20169,g,-1,6
20175,g,-1,6
20181,g,-1,6
3066,y,-1,12
20187,g,-1,6
20193,g,-1,6
20199,g,-1,6
20205,g,-1,6
20211,g,-1,6
20217,g,-1,6
20223,g,-1,6
20127,g,-1,6
20121,g,-1,6
3078,y,-1,12
20115,g,-1,6
20013,g,-1,6
20019,g,-1,6
20025,g,-1,6
20031,g,-1,6
20037,g,-1,6
20043,g,-1,6
20049,g,-1,6
3090,y,-1,12
20229,g,-1,6
20055,g,-1,6
20067,g,-1,6
20073,g,-1,6
20079,g,-1,6
20085,g,-1,6
20091,g,-1,6
20097,g,-1,6
20103,g,-1,6
20109,g,-1,6
20061,g,-1,6
20433,f,-1,3
20235,g,-1,6
20247,g,-1,6
20373,g,-1,6
20379,g,-1,6
3030,y,-1,12
20385,g,-1,6
20391,g,-1,6
20397,g,-1,6
20400,f,-1,3
20403,f,-1,3
20406,f,-1,3
20409,f,-1,3
20412,f,-1,3
20415,f,-1,3
20418,f,-1,3
20421,f,-1,3
3018,y,-1,12
20424,f,-1,3
20427,f,-1,3
20367,g,-1,6
20361,g,-1,6
20355,g,-1,6
20349,g,-1,6
3054,y,-1,12
20253,g,-1,6
20259,g,-1,6
20265,g,-1,6
20271,g,-1,6
20277,g,-1,6
20283,g,-1,6
20289,g,-1,6
20241,g,-1,6
20295,g,-1,6
20307,g,-1,6
20313,g,-1,6
3042,y,-1,12
20319,g,-1,6
20325,g,-1,6
20331,g,-1,6
20337,g,-1,6
20343,g,-1,6
20301,g,-1,6
20007,g,-1,6
20670,f,-1,3
20676,f,-1,3
21146,g,-1,5
21151,g,-1,5
21156,g,-1,5
2814,y,-1,12
21161,g,-1,5
21166,g,-1,5
21171,g,-1,5
21176,g,-1,5
21181,g,-1,5
21186,g,-1,5
21191,g,-1,5
21196,g,-1,5
21201,g,-1,5
21206,g,-1,5
21211,g,-1,5
2802,y,-1,12
21216,g,-1,5
21141,g,-1,5
21136,g,-1,5
21131,g,-1,5
21126,g,-1,5
21046,g,-1,5
2838,y,-1,12
21051,g,-1,5
21056,g,-1,5
21061,g,-1,5
21066,g,-1,5
21071,g,-1,5
21076,g,-1,5
21221,g,-1,5
21081,g,-1,5
21091,g,-1,5
21096,g,-1,5
21101,g,-1,5
2826,y,-1,12
21106,g,-1,5
21111,g,-1,5
21116,g,-1,5
21121,g,-1,5
21086,g,-1,5
21041,g,-1,5
21226,g,-1,5
21236,g,-1,5
21342,g,-1,6
21348,g,-1,6
21354,g,-1,6
21360,g,-1,6
21366,g,-1,6
21372,g,-1,6
21378,g,-1,6
21384,g,-1,6
2766,y,-1,12
21390,g,-1,6
21396,g,-1,6
21402,g,-1,6
21408,g,-1,6
21414,g,-1,6
21420,g,-1,6
21426,g,-1,6
21432,g,-1,6
21336,g,-1,5
21331,g,-1,5
21326,g,-1,5
2778,y,-1,12
21241,g,-1,5
21246,g,-1,5
21251,g,-1,5
21256,g,-1,5
21261,g,-1,5
21266,g,-1,5
2790,y,-1,12
21271,g,-1,5
21231,g,-1,5
21276,g,-1,5
21286,g,-1,5
21291,g,-1,5
21296,g,-1,5
21301,g,-1,5
21306,g,-1,5
21311,g,-1,5
21316,g,-1,5
21321,g,-1,5
21281,g,-1,5
20673,f,-1,3
21036,g,-1,5
21026,g,-1,5
20751,g,-1,5
20756,g,-1,5
20761,g,-1,5
20766,g,-1,5
20771,g,-1,5
2898,y,-1,12
20776,g,-1,5
20781,g,-1,5
20786,g,-1,5
20791,g,-1,5
20796,g,-1,5
20801,g,-1,5
20806,g,-1,5
20811,g,-1,5
20816,g,-1,5
20821,g,-1,5
20826,g,-1,5
20746,g,-1,5
20741,g,-1,5
20736,g,-1,5
20731,g,-1,5
20679,f,-1,3
20682,f,-1,3
20685,f,-1,3
2922,y,-1,12
20688,f,-1,3
20691,f,-1,3
20694,f,-1,3
20697,f,-1,3
2886,y,-1,12
20700,f,-1,3
20706,f,-1,3
20709,f,-1,3
20712,f,-1,3
20715,f,-1,3
20718,f,-1,3
2910,y,-1,12
20721,f,-1,3
20726,g,-1,5
20703,f,-1,3
21031,g,-1,5
20831,g,-1,5
20841,g,-1,5
20946,g,-1,5
20951,g,-1,5
20956,g,-1,5
20961,g,-1,5
20966,g,-1,5
20971,g,-1,5
20976,g,-1,5
20981,g,-1,5
20986,g,-1,5
20991,g,-1,5
2850,y,-1,12
20996,g,-1,5
21001,g,-1,5
21006,g,-1,5
21011,g,-1,5
21016,g,-1,5
21021,g,-1,5
20941,g,-1,5
2862,y,-1,12
20936,g,-1,5
20931,g,-1,5
20846,g,-1,5
20851,g,-1,5
20856,g,-1,5
20861,g,-1,5
20866,g,-1,5
20871,g,-1,5
20876,g,-1,5
20881,g,-1,5
20836,g,-1,5
2874,y,-1,12
20891,g,-1,5
20896,g,-1,5
20901,g,-1,5
20906,g,-1,5
20911,g,-1,5
20916,g,-1,5
20921,g,-1,5
20926,g,-1,5
20886,g,-1,5
20001,g,-1,6
19995,g,-1,6
19989,g,-1,6
18445,r,-1,5
18450,r,-1,5
18455,r,-1,5
18460,r,-1,5
3330,y,-1,12
18465,r,-1,5
18470,r,-1,5
18475,r,-1,5
18480,r,-1,5
18485,r,-1,5
18490,r,-1,5
18495,r,-1,5
18500,r,-1,5
18505,r,-1,5
18510,r,-1,5
18515,r,-1,5
3318,y,-1,12
18440,r,-1,5
18435,r,-1,5
18430,r,-1,5
18425,r,-1,5
18345,r,-1,5
18350,r,-1,5
3354,y,-1,12
18355,r,-1,5
18360,r,-1,5
18365,r,-1,5
18370,r,-1,5
18375,r,-1,5
18520,r,-1,5
18380,r,-1,5
18390,r,-1,5
18395,r,-1,5
18400,r,-1,5
18405,r,-1,5
3342,y,-1,12
18410,r,-1,5
18415,r,-1,5
18420,r,-1,5
18385,r,-1,5
18340,r,-1,5
18525,r,-1,5
18535,r,-1,5
18640,r,-1,5
18645,r,-1,5
18650,r,-1,5
18655,r,-1,5
18660,r,-1,5
18665,r,-1,5
18670,r,-1,5
18675,r,-1,5
18680,r,-1,5
3282,y,-1,12
18685,r,-1,5
18690,r,-1,5
18695,r,-1,5
18700,r,-1,5
18705,r,-1,5
18710,r,-1,5
18715,r,-1,5
18635,r,-1,5
18630,r,-1,5
3294,y,-1,12
18625,r,-1,5
18540,r,-1,5
18545,r,-1,5
18550,r,-1,5
18555,r,-1,5
18560,r,-1,5
18565,r,-1,5
18570,r,-1,5
3306,y,-1,12
18530,r,-1,5
18575,r,-1,5
18585,r,-1,5
18590,r,-1,5
18595,r,-1,5
18600,r,-1,5
18605,r,-1,5
18610,r,-1,5
18615,r,-1,5
18620,r,-1,5
18580,r,-1,5
18720,r,-1,5
18335,e,-1,8
18319,e,-1,8
17879,e,-1,8
17887,e,-1,8
17895,e,-1,8
17903,e,-1,8
17911,e,-1,8
17919,e,-1,8
3414,y,-1,12
17927,e,-1,8
17935,e,-1,8
17943,e,-1,8
17951,e,-1,8
17959,e,-1,8
17967,e,-1,8
17975,e,-1,8
17983,e,-1,8
17991,e,-1,8
17999,e,-1,8
17871,e,-1,8
17863,e,-1,8
17855,e,-1,8
17847,e,-1,8
17719,e,-1,8
17727,e,-1,8
17735,e,-1,8
17743,e,-1,8
3438,y,-1,12
17751,e,-1,8
17759,e,-1,8
17767,e,-1,8
18007,e,-1,8
17775,e,-1,8
17791,e,-1,8
17799,e,-1,8
17807,e,-1,8
17815,e,-1,8
17823,e,-1,8
17831,e,-1,8
3426,y,-1,12
17839,e,-1,8
17783,e,-1,8
18327,e,-1,8
3402,y,-1,12
18023,e,-1,8
18191,e,-1,8
18199,e,-1,8
18207,e,-1,8
18215,e,-1,8
18223,e,-1,8
18231,e,-1,8
18239,e,-1,8
18247,e,-1,8
18255,e,-1,8
18263,e,-1,8
18271,e,-1,8
3366,y,-1,12
18279,e,-1,8
18287,e,-1,8
18295,e,-1,8
18303,e,-1,8
18311,e,-1,8
3378,y,-1,12
18183,e,-1,8
18175,e,-1,8
18167,e,-1,8
18031,e,-1,8
18039,e,-1,8
18047,e,-1,8
18055,e,-1,8
18063,e,-1,8
18071,e,-1,8
18079,e,-1,8
18087,e,-1,8
18015,e,-1,8
18095,e,-1,8
18103,e,-1,8
18111,e,-1,8
18119,e,-1,8
18127,e,-1,8
18135,e,-1,8
18143,e,-1,8
18151,e,-1,8
18159,e,-1,8
3390,y,-1,12
18725,r,-1,5
18730,r,-1,5
18735,r,-1,5
19615,s,-1,10
19625,s,-1,10
19635,s,-1,10
19645,s,-1,10
19655,s,-1,10
19665,s,-1,10
19675,s,-1,10
19685,s,-1,10
19695,s,-1,10
19705,s,-1,10
19715,s,-1,10
3150,y,-1,12
19725,s,-1,10
19731,g,-1,6
19737,g,-1,6
19743,g,-1,6
19749,g,-1,6
3162,y,-1,12
19605,s,-1,10
19595,s,-1,10
19585,s,-1,10
19415,s,-1,10
19425,s,-1,10
19435,s,-1,10
19445,s,-1,10
19455,s,-1,10
19465,s,-1,10
19475,s,-1,10
19485,s,-1,10
19755,g,-1,6
19495,s,-1,10
19505,s,-1,10
19515,s,-1,10
19525,s,-1,10
19535,s,-1,10
19545,s,-1,10
19555,s,-1,10
19565,s,-1,10
19575,s,-1,10
3174,y,-1,12
19405,s,-1,10
19761,g,-1,6
19773,g,-1,6
19899,g,-1,6
19905,g,-1,6
19911,g,-1,6
19917,g,-1,6
3114,y,-1,12
19923,g,-1,6
19929,g,-1,6
19935,g,-1,6
19941,g,-1,6
19947,g,-1,6
19953,g,-1,6
19959,g,-1,6
19965,g,-1,6
19971,g,-1,6
19977,g,-1,6
19983,g,-1,6
3102,y,-1,12
19893,g,-1,6
19887,g,-1,6
19881,g,-1,6
19875,g,-1,6
19779,g,-1,6
19785,g,-1,6
3138,y,-1,12
19791,g,-1,6
19797,g,-1,6
19803,g,-1,6
19809,g,-1,6
19815,g,-1,6
19767,g,-1,6
19821,g,-1,6
19833,g,-1,6
19839,g,-1,6
19845,g,-1,6
19851,g,-1,6
3126,y,-1,12
19857,g,-1,6
19863,g,-1,6
19869,g,-1,6
19827,g,-1,6
19395,s,-1,10
3186,y,-1,12
19385,s,-1,10
18840,r,-1,5
18845,r,-1,5
3246,y,-1,12
18850,r,-1,5
18855,r,-1,5
18865,s,-1,10
18875,s,-1,10
18885,s,-1,10
18895,s,-1,10
18905,s,-1,10
18915,s,-1,10
18925,s,-1,10
18935,s,-1,10
18945,s,-1,10
3234,y,-1,12
18955,s,-1,10
18965,s,-1,10
18835,r,-1,5
18830,r,-1,5
18825,r,-1,5
18820,r,-1,5
3270,y,-1,12
18740,r,-1,5
18745,r,-1,5
18750,r,-1,5
18755,r,-1,5
18760,r,-1,5
18765,r,-1,5
18770,r,-1,5
18975,s,-1,10
18775,r,-1,5
18785,r,-1,5
18790,r,-1,5
3258,y,-1,12
18795,r,-1,5
18800,r,-1,5
18805,r,-1,5
18810,r,-1,5
18815,r,-1,5
18780,r,-1,5
18985,s,-1,10
18995,s,-1,10
19005,s,-1,10
19215,s,-1,10
19225,s,-1,10
19235,s,-1,10
19245,s,-1,10
19255,s,-1,10
19265,s,-1,10
19275,s,-1,10
3198,y,-1,12
19205,s,-1,10
19285,s,-1,10
19305,s,-1,10
19315,s,-1,10
19325,s,-1,10
19335,s,-1,10
19345,s,-1,10
19355,s,-1,10
19365,s,-1,10
19375,s,-1,10
19295,s,-1,10
17703,e,-1,8
19195,s,-1,10
19175,s,-1,10
19015,s,-1,10
19025,s,-1,10
19035,s,-1,10
19045,s,-1,10
19055,s,-1,10
3222,y,-1,12
19065,s,-1,10
19075,s,-1,10
19185,s,-1,10
19085,s,-1,10
19105,s,-1,10
19115,s,-1,10
19125,s,-1,10
19135,s,-1,10
19145,s,-1,10
19155,s,-1,10
19165,s,-1,10
3210,y,-1,12
19095,s,-1,10
21438,g,-1,6
13822,m,-1,8
13806,m,-1,8
8508,h,-1,7
5055,u,-1,3
8515,h,-1,7
8522,h,-1,7
5052,u,-1,3
8529,h,-1,7
8536,h,-1,7
5049,u,-1,3
8543,h,-1,7
8550,h,-1,7
5046,u,-1,3
8557,h,-1,7
8564,h,-1,7
5043,u,-1,3
8571,h,-1,7
8578,h,-1,7
5040,u,-1,3
8501,h,-1,7
